GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core-service,com.edium.service.user.config,CustomAccessTokenConverter,9,3,0,0,3,1,1,1,1,1
core-service,com.edium.service.user.config,ResourceServerConfig,6,67,0,0,2,24,0,6,0,6
core-service,com.edium.service.user.controller,NoteController,81,3,0,0,14,1,9,1,9,1
core-service,com.edium.service.user.exception,ResourceNotFoundException,37,0,0,0,8,0,4,0,4,0
core-service,com.edium.service.user.model,Note,35,3,0,0,15,1,10,1,10,1
core-service,com.edium.service.user,EdiumApiGatewayApplication,51,3,2,0,14,1,3,1,2,1
